id,school_id,school_name,school_city,school_state,school_country,date,date_precision,location,affected_communities,category,summary,source_ids,source_types,source_titles,source_publishers,source_urls,institutional_response,response_depth,response_date,legal_status,verification_status,confidence,review_tier,tags,created_at,updated_at,record_hash
evt_2024_0001,brown_university,Brown University,Providence,RI,US,2024-07-08,day,"Providence, RI",Jewish; Muslim,OCR complaint,"Brown University announced a voluntary agreement with the U.S. Department of Education's Office for Civil Rights related to alleged shared-ancestry harassment, including antisemitism.",src_brown_2024_07_08_resolution,University statement,Brown reaches agreement that resolves OCR complaint alleging antisemitism,Brown University,https://www.brown.edu/news/2024-07-08/resolution-agreement,"Brown said it agreed to continue nondiscrimination training, investigator training, policy clarification, and reporting commitments under the OCR resolution agreement.",direct_institutional_response,2024-07-08,OCR voluntary resolution agreement announced,Verified from public source,High,internally_certified,title-vi; shared-ancestry; ocr; resolution-agreement,2026-06-03,2026-06-03,sha256:15781c55dd581c99dab95aaa47faff56b9c6be1dc9f955eea028a7fa7941a80e
evt_2024_0002,drexel_university,Drexel University,Philadelphia,PA,US,2024-08-02,day,"Philadelphia, PA",Jewish,OCR complaint,Drexel University announced a voluntary resolution agreement with OCR after a Title VI investigation into reported harassment based on shared Jewish ancestry.,src_drexel_2024_08_02_resolution,University statement,Drexel Reaches Voluntary Resolution Agreement on Title VI Investigation,Drexel University,https://drexel.edu/president/communications/message/2024/August/Drexel-Reaches-Voluntary-Resolution-Agreement-on-Title-VI-Investigation,"Drexel said the voluntary resolution reflected a commitment to take steps necessary to maintain a safe, respectful, and inclusive campus environment.",direct_institutional_response,2024-08-02,OCR voluntary resolution agreement announced,Verified from public source,High,internally_certified,title-vi; shared-ancestry; ocr; resolution-agreement,2026-06-03,2026-06-03,sha256:456678311b9c459c1080af62aa6523f7906cfa33508c22f144277abdf75ee8c0
evt_2024_0003,lafayette_college,Lafayette College,Easton,PA,US,2024-06-20,day,"Easton, PA",Jewish; Arab,OCR complaint,Lafayette College announced that it resolved an OCR review related to a shared-ancestry discrimination complaint.,src_lafayette_2024_06_20_resolution,University statement,Lafayette resolves OCR review,Lafayette College,https://news.lafayette.edu/2024/06/20/lafayette-resolves-ocr-review/,"Lafayette said it would submit policy revisions to OCR, provide training, and continue cooperation under the voluntary agreement.",direct_institutional_response,2024-06-20,OCR voluntary resolution agreement announced,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; resolution-agreement,2026-06-03,2026-06-03,sha256:627425e1a450e0b31fc08a07af24ba3d61934c1b310e99ab3053ac032cd624cc
evt_2024_0004,cuny,City University of New York,New York,NY,US,2024-06-17,day,"New York, NY",Jewish; Palestinian; Muslim; Arab,OCR complaint,OCR announced resolutions of CUNY national-origin discrimination complaints involving shared-ancestry allegations.,src_ed_ocr_whats_new_shared_ancestry_higher_ed,Government release,What's New in OCR,U.S. Department of Education Office for Civil Rights,https://www.ed.gov/preview-link/node/5060/e58bc9e0-17b9-483a-845a-0df68624a768,OCR announced that CUNY entered a voluntary resolution agreement addressing the complaints.,agency_described_institutional_action,2024-06-17,OCR voluntary resolution agreement reported,Verified from public source,Medium,imported_public_source,title-vi; shared-ancestry; ocr; resolution-agreement,2026-06-03,2026-06-03,sha256:c35dd0022527621b0a28da3e4b37bdcd6baa276a3f8f0c4ecf0f5e3aca838b6a
evt_2024_0005,university_of_michigan,University of Michigan,Ann Arbor,MI,US,2024-06-17,day,"Ann Arbor, MI",Jewish; Muslim; Arab,OCR complaint,OCR announced a University of Michigan resolution agreement involving Title VI shared-ancestry harassment and discrimination response obligations.,src_ed_ocr_whats_new_shared_ancestry_higher_ed,Government release,What's New in OCR,U.S. Department of Education Office for Civil Rights,https://www.ed.gov/preview-link/node/5060/e58bc9e0-17b9-483a-845a-0df68624a768,OCR announced that the University of Michigan entered a voluntary resolution agreement addressing Title VI compliance obligations.,agency_described_institutional_action,2024-06-17,OCR voluntary resolution agreement reported,Verified from public source,Medium,imported_public_source,title-vi; shared-ancestry; ocr; resolution-agreement,2026-06-03,2026-06-03,sha256:7f56694f8c0f29cbdca3c8d18551fb0e06795908f1019009f68627af9291e29b
evt_2024_0006,university_of_illinois_urbana_champaign,University of Illinois Urbana-Champaign,Champaign,IL,US,2024-09-01,month,"Champaign, IL",Jewish; Muslim; Palestinian; Arab,OCR complaint,U.S. Department of Education Title VI guidance identified a September 2024 OCR resolution involving the University of Illinois Urbana-Champaign and allegations of shared-ancestry discrimination.,src_ed_2025_title_vi_hostile_environment,Government guidance,Resolving a Hostile Environment Under Title VI,U.S. Department of Education,https://www.ed.gov/media/document/resolving-hostile-environment-under-title-vi-discrimination-based-race-color-or-national-origin-including-shared-ancestry-or-ethnic-characteristics-2025,The Department of Education guidance describes the matter as an OCR resolution connected to Title VI hostile-environment obligations.,direct_institutional_response,2024-09-01,OCR resolution referenced in Department of Education guidance,Verified from public source,Medium,imported_public_source,title-vi; shared-ancestry; ocr; resolution-agreement,2026-06-03,2026-06-03,sha256:be70a2ae2a04c84aac5c98217bd57a39bca3e61783accc2b6f45a2ec1477921b
evt_2025_0001,columbia_university,Columbia University,New York,NY,US,2025-02-03,day,"New York, NY",Jewish,OCR complaint,The U.S. Department of Education announced that OCR opened a Title VI investigation into Columbia University related to reported antisemitic harassment.,src_ed_2025_02_03_five_universities,Government release,U.S. Department of Education Probes Cases of Antisemitism at Five Universities,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-education-probes-cases-of-antisemitism-five-universities,The source announces an OCR investigation. The current record does not summarize Columbia's institutional response beyond the public government action.,direct_institutional_response,2025-02-03,OCR directed investigation announced,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; directed-investigation,2026-06-03,2026-06-03,sha256:ddb31f0e592857e9856ae3d25e9a81bf72dd864fbd6bb2f8bc4eac2e9fa63cac
evt_2025_0002,northwestern_university,Northwestern University,Evanston,IL,US,2025-02-03,day,"Evanston, IL",Jewish,OCR complaint,The U.S. Department of Education announced that OCR opened a Title VI investigation into Northwestern University related to reported antisemitic harassment.,src_ed_2025_02_03_five_universities,Government release,U.S. Department of Education Probes Cases of Antisemitism at Five Universities,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-education-probes-cases-of-antisemitism-five-universities,The source announces an OCR investigation. The current record does not summarize Northwestern's institutional response beyond the public government action.,direct_institutional_response,2025-02-03,OCR directed investigation announced,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; directed-investigation,2026-06-03,2026-06-03,sha256:4206cb69e9ace86bead0dd228dd1a555d51425d316996c52327076741cc49c35
evt_2025_0003,portland_state_university,Portland State University,Portland,OR,US,2025-02-03,day,"Portland, OR",Jewish,OCR complaint,The U.S. Department of Education announced that OCR opened a Title VI investigation into Portland State University related to reported antisemitic harassment.,src_ed_2025_02_03_five_universities,Government release,U.S. Department of Education Probes Cases of Antisemitism at Five Universities,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-education-probes-cases-of-antisemitism-five-universities,The source announces an OCR investigation. The current record does not summarize Portland State's institutional response beyond the public government action.,direct_institutional_response,2025-02-03,OCR directed investigation announced,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; directed-investigation,2026-06-03,2026-06-03,sha256:59431b46f2cee5b43779f60f67b8b0866e614e9c260b23d9913cfc57a7ebf682
evt_2025_0004,university_of_california_berkeley,"University of California, Berkeley",Berkeley,CA,US,2025-02-03,day,"Berkeley, CA",Jewish,OCR complaint,"The U.S. Department of Education announced that OCR opened a Title VI investigation into the University of California, Berkeley related to reported antisemitic harassment.",src_ed_2025_02_03_five_universities,Government release,U.S. Department of Education Probes Cases of Antisemitism at Five Universities,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-education-probes-cases-of-antisemitism-five-universities,The source announces an OCR investigation. The current record does not summarize UC Berkeley's institutional response beyond the public government action.,direct_institutional_response,2025-02-03,OCR directed investigation announced,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; directed-investigation,2026-06-03,2026-06-03,sha256:38363561d42985bce54f15f3f398bccdd90fbcdf678bf5ecf13bd73eb5080215
