id,name,city,state,country,website,total_event_count,latest_record_date,last_updated_date,affected_communities,event_categories,event_ids
american_university,American University,Washington,DC,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0010
arcadia_university,Arcadia University,Glenside,PA,US,,1,2024-01-01,2026-06-03,Women,Title IX compliance,evt_2026_0011
arizona_state_university,Arizona State University,Tempe,AZ,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0011
boston_university,Boston University,Boston,MA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0012
brown_university,Brown University,Providence,RI,US,https://www.brown.edu,2,2025-03-10,2026-06-03,Arab; Jewish; Muslim; Palestinian,OCR complaint,evt_2024_0001; evt_2025_0013
california_state_university_sacramento,"California State University, Sacramento",Sacramento,CA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0014
chapman_university,Chapman University,Orange,CA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0015
cuny,City University of New York,New York,NY,US,https://www.cuny.edu,1,2024-06-17,2026-06-03,Arab; Jewish; Muslim; Palestinian,OCR complaint,evt_2024_0004
columbia_university,Columbia University,New York,NY,US,https://www.columbia.edu,3,2025-05-22,2026-06-03,Israeli; Jewish,Institutional response; OCR complaint,evt_2025_0001; evt_2025_0006; evt_2025_0016
cornell_university,Cornell University,Ithaca,NY,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0017
drexel_university,Drexel University,Philadelphia,PA,US,https://drexel.edu,2,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2024_0002; evt_2025_0018
eastern_washington_university,Eastern Washington University,Cheney,WA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0019
elmira_college,Elmira College,Elmira,NY,US,,1,2015-01-01,2026-06-03,Women,Title IX compliance,evt_2026_0018
emerson_college,Emerson College,Boston,MA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0020
emory_university,Emory University,Atlanta,GA,US,,1,2025-01-16,2026-06-03,Muslim; Palestinian,OCR complaint,evt_2026_0001
erie_community_college,Erie Community College,Buffalo,NY,US,,1,2013-01-01,2026-06-03,Women,Athletic equity,evt_2026_0024
frostburg_state_university,Frostburg State University,Frostburg,MD,US,,1,2015-01-01,2026-06-03,Women,Title IX compliance,evt_2026_0021
george_mason_university,George Mason University,Fairfax,VA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0021
harvard_university,Harvard University,Cambridge,MA,US,https://www.harvard.edu,2,2025-06-30,2026-06-03,Israeli; Jewish,Institutional response; OCR complaint,evt_2025_0007; evt_2025_0022
haverford_college,Haverford College,Haverford,PA,US,https://www.haverford.edu,1,2025-08-20,2026-06-03,Israeli; Jewish,OCR complaint,evt_2025_0008
hinds_community_college,Hinds Community College,Raymond,MS,US,,1,2024-06-01,2026-06-03,Pregnant students; Women,Pregnancy discrimination,evt_2026_0010
hunter_college,Hunter College,New York,NY,US,,1,2015-01-01,2026-06-03,Women,Title IX compliance,evt_2026_0019
illinois_wesleyan_university,Illinois Wesleyan University,Bloomington,IL,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0023
indiana_university_bloomington,"Indiana University, Bloomington",Bloomington,IN,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0024
johns_hopkins_university,Johns Hopkins University,Baltimore,MD,US,,2,2025-03-10,2026-06-03,Arab; Jewish; Muslim; Palestinian,OCR complaint,evt_2025_0025; evt_2026_0005
lafayette_college,Lafayette College,Easton,PA,US,https://www.lafayette.edu,2,2025-03-10,2026-06-03,Arab; Jewish,OCR complaint,evt_2024_0003; evt_2025_0026
lehigh_university,Lehigh University,Bethlehem,PA,US,,2,2025-03-10,2026-06-03,Arab; Jewish; Muslim; Palestinian,OCR complaint,evt_2025_0027; evt_2026_0004
michigan_state_university,Michigan State University,East Lansing,MI,US,,1,2019-01-01,2026-06-03,Women,Title IX compliance,evt_2026_0016
middlebury_college,Middlebury College,Middlebury,VT,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0028
minot_state_university,Minot State University,Minot,ND,US,,1,2015-01-01,2026-06-03,Students with disabilities,Disability access,evt_2026_0022
montgomery_college,Montgomery College,Rockville,MD,US,,1,2023-01-01,2026-06-03,Women,Title IX compliance,evt_2026_0013
muhlenberg_college,Muhlenberg College,Allentown,PA,US,,2,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0029; evt_2026_0009
northwestern_university,Northwestern University,Evanston,IL,US,https://www.northwestern.edu,2,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0002; evt_2025_0030
occidental_college,Occidental College,Los Angeles,CA,US,,1,2013-01-01,2026-06-03,Women,Title IX compliance,evt_2026_0023
ohio_state_university,Ohio State University,Columbus,OH,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0031
pacific_lutheran_university,Pacific Lutheran University,Tacoma,WA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0032
pomona_college,Pomona College,Claremont,CA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0033
portland_state_university,Portland State University,Portland,OR,US,https://www.pdx.edu,2,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0003; evt_2025_0034
princeton_university,Princeton University,Princeton,NJ,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0035
rutgers_university,Rutgers University,New Brunswick,NJ,US,,2,2025-03-10,2026-06-03,Arab; Jewish; Muslim; Palestinian,OCR complaint,evt_2025_0036; evt_2026_0006
rutgers_university_newark,Rutgers University-Newark,Newark,NJ,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0037
salt_lake_community_college,Salt Lake Community College,Salt Lake City,UT,US,,1,2023-01-01,2026-06-03,Pregnant students; Women,Pregnancy discrimination,evt_2026_0015
santa_monica_college,Santa Monica College,Santa Monica,CA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0038
sarah_lawrence_college,Sarah Lawrence College,Bronxville,NY,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0039
stanford_university,Stanford University,Stanford,CA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0040
suny_binghamton,State University of New York Binghamton,Binghamton,NY,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0041
suny_rockland,State University of New York Rockland,Suffern,NY,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0042
suny_purchase,"State University of New York, Purchase",Purchase,NY,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0043
swarthmore_college,Swarthmore College,Swarthmore,PA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0044
taft_college,Taft College,Taft,CA,US,,1,2024-01-01,2026-06-03,Women,Title IX compliance,evt_2026_0012
temple_university,Temple University,Philadelphia,PA,US,,2,2025-03-10,2026-06-03,Arab; Jewish; Muslim; Palestinian,OCR complaint,evt_2025_0045; evt_2026_0008
the_new_school,The New School,New York,NY,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0046
troy_university,Troy University,Troy,AL,US,,1,2023-01-01,2026-06-03,Pregnant students; Women,Pregnancy discrimination,evt_2026_0014
tufts_university,Tufts University,Medford,MA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0047
tulane_university,Tulane University,New Orleans,LA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0048
union_college,Union College,Schenectady,NY,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0049
university_of_california_davis,University of California Davis,Davis,CA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0050
university_of_california_san_diego,University of California San Diego,San Diego,CA,US,,2,2025-03-10,2026-06-03,Black; Jewish,Harassment or threat; OCR complaint,evt_2025_0051; evt_2026_0026
university_of_california_santa_barbara,University of California Santa Barbara,Santa Barbara,CA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0052
university_of_california_berkeley,"University of California, Berkeley",Berkeley,CA,US,https://www.berkeley.edu,2,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0004; evt_2025_0053
