id,title,url,publisher,source_type,published_date,accessed_date,related_event_ids,related_event_count,related_school_ids,related_school_names
src_doj_case_summaries_ucsd_racial_harassment,"Civil Rights Division Case Summaries: University of California, San Diego",https://www.justice.gov/crt/case-summaries,U.S. Department of Justice Civil Rights Division,Government case summary,Mixed,2026-06-03,evt_2026_0026,1,university_of_california_san_diego,University of California San Diego
src_brown_2024_07_08_resolution,Brown reaches agreement that resolves OCR complaint alleging antisemitism,https://www.brown.edu/news/2024-07-08/resolution-agreement,Brown University,University statement,2024-07-08,2026-06-03,evt_2024_0001,1,brown_university,Brown University
src_drexel_2024_08_02_resolution,Drexel Reaches Voluntary Resolution Agreement on Title VI Investigation,https://drexel.edu/president/communications/message/2024/August/Drexel-Reaches-Voluntary-Resolution-Agreement-on-Title-VI-Investigation,Drexel University,University statement,2024-08-02,2026-06-03,evt_2024_0002,1,drexel_university,Drexel University
src_ed_2025_02_03_five_universities,U.S. Department of Education Probes Cases of Antisemitism at Five Universities,https://www.ed.gov/about/news/press-release/us-department-of-education-probes-cases-of-antisemitism-five-universities,U.S. Department of Education,Government release,2025-02-03,2026-06-03,evt_2025_0001; evt_2025_0002; evt_2025_0003; evt_2025_0004; evt_2025_0005,5,columbia_university; northwestern_university; portland_state_university; university_of_california_berkeley; university_of_minnesota_twin_cities,"Columbia University; Northwestern University; Portland State University; University of California, Berkeley; University of Minnesota, Twin Cities"
src_ed_2025_03_10_letters_60,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,U.S. Department of Education,Government release,2025-03-10,2026-06-03,evt_2025_0010; evt_2025_0011; evt_2025_0012; evt_2025_0013; evt_2025_0014; evt_2025_0015; evt_2025_0016; evt_2025_0017; evt_2025_0018; evt_2025_0019; evt_2025_0020; evt_2025_0021; evt_2025_0022; evt_2025_0023; evt_2025_0024; evt_2025_0025; evt_2025_0026; evt_2025_0027; evt_2025_0028; evt_2025_0029; evt_2025_0030; evt_2025_0031; evt_2025_0032; evt_2025_0033; evt_2025_0034; evt_2025_0035; evt_2025_0036; evt_2025_0037; evt_2025_0038; evt_2025_0039; evt_2025_0040; evt_2025_0041; evt_2025_0042; evt_2025_0043; evt_2025_0044; evt_2025_0045; evt_2025_0046; evt_2025_0047; evt_2025_0048; evt_2025_0049; evt_2025_0050; evt_2025_0051; evt_2025_0052; evt_2025_0053; evt_2025_0054; evt_2025_0055; evt_2025_0056; evt_2025_0057; evt_2025_0058; evt_2025_0059; evt_2025_0060; evt_2025_0061; evt_2025_0062; evt_2025_0063; evt_2025_0064; evt_2025_0065; evt_2025_0066; evt_2025_0067; evt_2025_0068; evt_2025_0069,60,american_university; arizona_state_university; boston_university; brown_university; california_state_university_sacramento; chapman_university; columbia_university; cornell_university; drexel_university; eastern_washington_university; emerson_college; george_mason_university; harvard_university; illinois_wesleyan_university; indiana_university_bloomington; johns_hopkins_university; lafayette_college; lehigh_university; middlebury_college; muhlenberg_college; northwestern_university; ohio_state_university; pacific_lutheran_university; pomona_college; portland_state_university; princeton_university; rutgers_university; rutgers_university_newark; santa_monica_college; sarah_lawrence_college; stanford_university; suny_binghamton; suny_purchase; suny_rockland; swarthmore_college; temple_university; the_new_school; tufts_university; tulane_university; union_college; university_of_california_berkeley; university_of_california_davis; university_of_california_san_diego; university_of_california_santa_barbara; university_of_cincinnati; university_of_hawaii_at_manoa; university_of_massachusetts_amherst; university_of_michigan; university_of_minnesota_twin_cities; university_of_north_carolina; university_of_south_florida; university_of_southern_california; university_of_tampa; university_of_tennessee; university_of_virginia; university_of_washington; university_of_wisconsin_madison; wellesley_college; whitman_college; yale_university,"American University; Arizona State University; Boston University; Brown University; California State University, Sacramento; Chapman University; Columbia University; Cornell University; Drexel University; Eastern Washington University; Emerson College; George Mason University; Harvard University; Illinois Wesleyan University; Indiana University, Bloomington; Johns Hopkins University; Lafayette College; Lehigh University; Middlebury College; Muhlenberg College; Northwestern University; Ohio State University; Pacific Lutheran University; Pomona College; Portland State University; Princeton University; Rutgers University; Rutgers University-Newark; Santa Monica College; Sarah Lawrence College; Stanford University; State University of New York Binghamton; State University of New York Rockland; State University of New York, Purchase; Swarthmore College; Temple University; The New School; Tufts University; Tulane University; Union College; University of California Davis; University of California San Diego; University of California Santa Barbara; University of California, Berkeley; University of Cincinnati; University of Hawaii at Manoa; University of Massachusetts Amherst; University of Michigan; University of Minnesota, Twin Cities; University of North Carolina; University of South Florida; University of Southern California; University of Tampa; University of Tennessee; University of Virginia; University of Washington; University of Wisconsin, Madison; Wellesley College; Whitman College; Yale University"
src_ed_2025_05_06_university_washington,"ED, HHS, and GSA Initiate Review of Anti-Semitic Activity at the University of Washington",https://www.ed.gov/about/news/press-release/ed-hhs-and-gsa-initiate-review-of-anti-semitic-activity-university-of-washington,U.S. Department of Education,Government release,2025-05-06,2026-06-03,evt_2025_0009,1,university_of_washington,University of Washington
src_ed_2025_08_20_haverford,U.S. Department of Education Initiates Title VI Investigation into Haverford College for Allegedly Tolerating Anti-Semitic Harassment,https://www.ed.gov/about/news/press-release/us-department-of-education-initiates-title-vi-investigation-haverford-college-allegedly-tolerating-anti-semitic-harassment,U.S. Department of Education,Government release,2025-08-20,2026-06-03,evt_2025_0008,1,haverford_college,Haverford College
src_ed_2025_columbia_accreditor,U.S. Department of Education Notifies Columbia University's Accreditor of Columbia's Title VI Violation,https://www.ed.gov/about/news/press-release/us-department-of-education-notifies-columbia-universitys-accreditor-of-columbias-title-vi-violation,U.S. Department of Education,Government release,Unknown,2026-06-03,evt_2025_0006,1,columbia_university,Columbia University
src_ed_2025_harvard_accreditor,U.S. Departments of Education and Health and Human Services Notify Harvard University's Accreditor of Harvard's Title VI Violation,https://www.ed.gov/about/news/press-release/us-departments-of-education-and-health-and-human-services-notify-harvard-universitys-accreditor-of-harvards-title-vi-violation,U.S. Department of Education,Government release,Unknown,2026-06-03,evt_2025_0007,1,harvard_university,Harvard University
src_ed_2025_title_vi_hostile_environment,Resolving a Hostile Environment Under Title VI,https://www.ed.gov/media/document/resolving-hostile-environment-under-title-vi-discrimination-based-race-color-or-national-origin-including-shared-ancestry-or-ethnic-characteristics-2025,U.S. Department of Education,Government guidance,2025-01-01,2026-06-03,evt_2024_0006,1,university_of_illinois_urbana_champaign,University of Illinois Urbana-Champaign
src_ed_ocr_whats_new_shared_ancestry_higher_ed,What's New in OCR,https://www.ed.gov/preview-link/node/5060/e58bc9e0-17b9-483a-845a-0df68624a768,U.S. Department of Education Office for Civil Rights,Government release,Mixed,2026-06-03,evt_2024_0004; evt_2024_0005; evt_2026_0001; evt_2026_0002; evt_2026_0003; evt_2026_0004; evt_2026_0005; evt_2026_0006; evt_2026_0007; evt_2026_0008; evt_2026_0009; evt_2026_0010; evt_2026_0011; evt_2026_0012; evt_2026_0013; evt_2026_0014; evt_2026_0015; evt_2026_0016; evt_2026_0017; evt_2026_0018; evt_2026_0019; evt_2026_0020; evt_2026_0021; evt_2026_0022; evt_2026_0023; evt_2026_0024; evt_2026_0025,27,arcadia_university; cuny; elmira_college; emory_university; erie_community_college; frostburg_state_university; hinds_community_college; hunter_college; johns_hopkins_university; lehigh_university; michigan_state_university; minot_state_university; montgomery_college; muhlenberg_college; occidental_college; rutgers_university; salt_lake_community_college; taft_college; temple_university; troy_university; university_of_california_los_angeles; university_of_cincinnati; university_of_michigan; university_of_virginia; university_of_washington; wesley_college; wittenberg_university,"Arcadia University; City University of New York; Elmira College; Emory University; Erie Community College; Frostburg State University; Hinds Community College; Hunter College; Johns Hopkins University; Lehigh University; Michigan State University; Minot State University; Montgomery College; Muhlenberg College; Occidental College; Rutgers University; Salt Lake Community College; Taft College; Temple University; Troy University; University of California, Los Angeles; University of Cincinnati; University of Michigan; University of Virginia; University of Washington; Wesley College; Wittenberg University"
src_uky_2025_09_23_ocr_phd_project,University of Kentucky OCR Case Number 03-25-2099 Finding and Signed Agreement,https://pres.uky.edu/sites/default/files/2025-10/2025-10-01_legal_ocr_finding_signedagreement.pdf,U.S. Department of Education Office for Civil Rights,Government letter,2025-09-23,2026-06-03,evt_2026_0027,1,university_of_kentucky,University of Kentucky
src_lafayette_2024_06_20_resolution,Lafayette resolves OCR review,https://news.lafayette.edu/2024/06/20/lafayette-resolves-ocr-review/,Lafayette College,University statement,2024-06-20,2026-06-03,evt_2024_0003,1,lafayette_college,Lafayette College
