id,title,url,publisher,source_type,published_date,accessed_date
src_arizona_2025_asr_hate_crimes,2025 Annual Security & Fire Safety Report,https://clery.arizona.edu/asr,University of Arizona,Annual security report,2026-04-01,2026-06-03
src_brown_2024_07_08_resolution,Brown reaches agreement that resolves OCR complaint alleging antisemitism,https://www.brown.edu/news/2024-07-08/resolution-agreement,Brown University,University statement,2024-07-08,2026-06-03
src_doj_case_summaries_ucsd_racial_harassment,"Civil Rights Division Case Summaries: University of California, San Diego",https://www.justice.gov/crt/case-summaries,U.S. Department of Justice Civil Rights Division,Government case summary,Mixed,2026-06-03
src_drexel_2024_08_02_resolution,Drexel Reaches Voluntary Resolution Agreement on Title VI Investigation,https://drexel.edu/president/communications/message/2024/August/Drexel-Reaches-Voluntary-Resolution-Agreement-on-Title-VI-Investigation,Drexel University,University statement,2024-08-02,2026-06-03
src_ed_2025_02_03_five_universities,U.S. Department of Education Probes Cases of Antisemitism at Five Universities,https://www.ed.gov/about/news/press-release/us-department-of-education-probes-cases-of-antisemitism-five-universities,U.S. Department of Education,Government release,2025-02-03,2026-06-03
src_ed_2025_03_10_letters_60,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,U.S. Department of Education,Government release,2025-03-10,2026-06-03
src_ed_2025_05_06_university_washington,"ED, HHS, and GSA Initiate Review of Anti-Semitic Activity at the University of Washington",https://www.ed.gov/about/news/press-release/ed-hhs-and-gsa-initiate-review-of-anti-semitic-activity-university-of-washington,U.S. Department of Education,Government release,2025-05-06,2026-06-03
src_ed_2025_08_20_haverford,U.S. Department of Education Initiates Title VI Investigation into Haverford College for Allegedly Tolerating Anti-Semitic Harassment,https://www.ed.gov/about/news/press-release/us-department-of-education-initiates-title-vi-investigation-haverford-college-allegedly-tolerating-anti-semitic-harassment,U.S. Department of Education,Government release,2025-08-20,2026-06-03
src_ed_2025_columbia_accreditor,U.S. Department of Education Notifies Columbia University's Accreditor of Columbia's Title VI Violation,https://www.ed.gov/about/news/press-release/us-department-of-education-notifies-columbia-universitys-accreditor-of-columbias-title-vi-violation,U.S. Department of Education,Government release,Unknown,2026-06-03
src_ed_2025_harvard_accreditor,U.S. Departments of Education and Health and Human Services Notify Harvard University's Accreditor of Harvard's Title VI Violation,https://www.ed.gov/about/news/press-release/us-departments-of-education-and-health-and-human-services-notify-harvard-universitys-accreditor-of-harvards-title-vi-violation,U.S. Department of Education,Government release,Unknown,2026-06-03
src_ed_2025_title_vi_hostile_environment,Resolving a Hostile Environment Under Title VI,https://www.ed.gov/media/document/resolving-hostile-environment-under-title-vi-discrimination-based-race-color-or-national-origin-including-shared-ancestry-or-ethnic-characteristics-2025,U.S. Department of Education,Government guidance,2025-01-01,2026-06-03
src_ed_campus_safety_2025_hate_crime_data_files,Campus Safety and Security Data Analysis Cutting Tool 2025 Excel data files,https://ope.ed.gov/campussafety/#/datafile/list,U.S. Department of Education Office of Postsecondary Education,Government dataset,2026-04-30,2026-06-03
src_ed_ocr_whats_new_shared_ancestry_higher_ed,What's New in OCR,https://www.ed.gov/preview-link/node/5060/e58bc9e0-17b9-483a-845a-0df68624a768,U.S. Department of Education Office for Civil Rights,Government release,Mixed,2026-06-03
src_farmingdale_hate_crime_resources,Hate Crime Resources,https://www.farmingdale.edu/university-police/hate-crime-res.shtml,Farmingdale State College University Police,Public safety notice,2025-12-12,2026-06-03
src_lafayette_2024_06_20_resolution,Lafayette resolves OCR review,https://news.lafayette.edu/2024/06/20/lafayette-resolves-ocr-review/,Lafayette College,University statement,2024-06-20,2026-06-03
src_montana_state_2025_asr_hate_crimes,2025 Annual Security Report,https://www.montana.edu/clery/reports/asr/2025/index.html,Montana State University,Annual security report,2025-10-01,2026-06-03
src_ohio_2023_black_students_threats,Reiterating OHIO's commitment to fostering a community of respect,https://www.ohio.edu/news/2023/12/reiterating-ohios-commitment-fostering-community-respect,Ohio University,University statement,2023-12-10,2026-06-03
src_qcc_2025_asr_hate_crimes,Queensborough Community College Department of Public Safety 2025 Annual Security Report,https://www.qcc.cuny.edu/publicSafety/docs/2025-QCC-ASR.pdf,Queensborough Community College Department of Public Safety,Annual security report,2025-10-01,2026-06-03
src_sjsu_2022_anti_asian_hate_crime,Anti-Asian Hate Crime on SJSU Campus,https://www.sjsu.edu/diversity/office/comms/archive/20220617_anti-asian_hate_crime_on_sjsu_campus.php,"San Jose State University Office of Diversity, Equity and Inclusion",University statement,2022-06-17,2026-06-03
src_towson_2016_hate_bias_update,Hate/bias investigation update,https://www.towson.edu/news/2016/hatebiasupdate.html,Towson University,University statement,2016-11-16,2026-06-03
