priority,organization_name,contact_name,email,domain,partner_kind,source_url,rationale,feed_url
1,Daily Egyptian,Daily Egyptian editors,editor@dailyegyptian.com,dailyegyptian.com,newsroom,https://dailyegyptian.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,Daily Reveille,Daily Reveille editors,editor@lsureveille.com,lsureveille.com,newsroom,https://lsureveille.com/contact-us/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,Mount Holyoke News,Mount Holyoke News editors,mhnews@mtholyoke.edu,mtholyoke.edu,newsroom,https://mount-holyoke-news.squarespace.com/contact,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,Pipe Dream,Pipe Dream editors,editor@bupipedream.com,bupipedream.com,newsroom,https://www.bupipedream.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,Purdue Exponent,Purdue Exponent editors,editor@purdueexponent.org,purdueexponent.org,newsroom,https://www.purdueexponent.org/site/contact.html,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,Quinnipiac Chronicle,Quinnipiac Chronicle editors,thequchronicle@gmail.com,quchronicle.com,newsroom,https://quchronicle.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The Campus,The Campus editors,newspaper@allegheny.edu,allegheny.edu,newsroom,https://alleghenycampus.com/contact-us/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The Charger Bulletin,The Charger Bulletin editors,chargerbulletin@newhaven.edu,newhaven.edu,newsroom,https://chargerbulletin.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The College Voice,The College Voice editors,contact@thecollegevoice.org,thecollegevoice.org,newsroom,https://thecollegevoice.org/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The Columbia Chronicle,The Columbia Chronicle management,management@columbiachronicle.com,columbiachronicle.com,newsroom,https://columbiachronicle.com/contact-us,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The Daily UW,The Daily UW editors,editor@dailyuw.com,dailyuw.com,newsroom,https://www.dailyuw.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The Gatepost,The Gatepost editors,gatepost@framingham.edu,framingham.edu,newsroom,https://fsugatepost.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The George-Anne,The George-Anne editors,gaeditor@georgiasouthern.edu,georgiasouthern.edu,newsroom,https://thegeorgeanne.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The Griffin,The Griffin editors,thegrffn@canisius.edu,canisius.edu,newsroom,https://canisiusgriffin.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The Hawks' Herald,The Hawks' Herald editors,hawksherald@gmail.com,rwuhawksherald.com,newsroom,https://rwuhawksherald.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The Hill News,The Hill News editors,hillnews@stlawu.edu,stlawu.edu,newsroom,https://thehillnews.org/contact-us,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The Mercer Cluster,The Mercer Cluster editors,editor@mercercluster.com,mercercluster.com,newsroom,https://www.mercercluster.com/contact,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The Olaf Messenger,The Olaf Messenger editors,mess-exec@stolaf.edu,stolaf.edu,newsroom,https://www.theolafmessenger.com/contact,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The Pace Press,The Pace Press editor,editorthepacepress@gmail.com,thepacepress.org,newsroom,https://thepacepress.org/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The Rider News,The Rider News editors,ridernews@rider.edu,rider.edu,newsroom,https://www.theridernews.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
2,The Seahawk,The Seahawk editors,theseahawk@uncw.edu,uncw.edu,newsroom,https://theseahawk.org/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
2,The Simmons Voice,The Simmons Voice editors,voice@simmons.edu,simmons.edu,newsroom,https://simmonsvoice.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
2,The Skidmore News,The Skidmore News editors,skidnews@skidmore.edu,skidmore.edu,newsroom,https://skidmorenews.com/contact,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
2,The Snapper,The Snapper editors,editor@thesnapper.com,thesnapper.com,newsroom,https://thesnapper.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
2,The Spectrum,The Spectrum editors,eic@ubspectrum.com,ubspectrum.com,newsroom,https://www.ubspectrum.com/page/contact-us,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
2,The Ticker,The Ticker editors,editor@theticker.org,theticker.org,newsroom,https://theticker.org/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
2,The Triangle,The Triangle editors,editor@thetriangle.org,thetriangle.org,newsroom,https://www.thetriangle.org/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
2,The Villanovan,The Villanovan co-editor,kfahy01@villanova.edu,villanova.edu,newsroom,https://villanovan.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
