organization,domain,contact_name,contact_route,category,date_sent,custom_angle,status,response_date,follow_up_date,feedback_type,acknowledgment_permission,notes
Arab American Institute,aaiusa.org,,Unknown or mixed contact route,Civil-rights organization,2026-06-05,Arab-American civil-rights and policy perspective,Sent,,2026-06-12,,Unknown,Original contact route uncertain due form/email issues.
UnidosUS,unidosus.org,,Unknown or mixed contact route,Civil-rights organization,2026-06-05,Latino policy and civil-rights perspective,Sent,,2026-06-12,,Unknown,Original contact route uncertain due form/email issues.
Lawyers' Committee for Civil Rights Under Law,lawyerscommittee.org,,Unknown or mixed contact route,Civil-rights legal organization,2026-06-05,Civil-rights legal and methodology review,Sent,,2026-06-12,,Unknown,Original contact route uncertain due form/email issues.
NAACP Legal Defense Fund,naacpldf.org,,Unknown or mixed contact route,Civil-rights legal organization,2026-06-05,Race and education civil-rights legal perspective,Sent,,2026-06-12,,Unknown,Original contact route uncertain due form/email issues.
Anti-Defamation League,adl.org,,Unknown or mixed contact route,Anti-hate organization,2026-06-05,Campus antisemitism and anti-hate data perspective,Sent,,2026-06-12,,Unknown,Original contact route uncertain due form/email issues.
Hillel International,hillel.org,,Unknown or mixed contact route,Campus Jewish organization,2026-06-05,Campus climate and Jewish student experience perspective,Sent,,2026-06-12,,Unknown,Original contact route uncertain due form/email issues.
Asian Americans Advancing Justice - AAJC,aajc.org,,Unknown or mixed contact route,Civil-rights organization,2026-06-05,AAPI civil-rights and source-standard review,Sent,,2026-06-12,,Unknown,Original contact route uncertain due form/email issues.
Stop AAPI Hate,stopaapihate.org,,Unknown or mixed contact route,Anti-hate research organization,2026-06-05,Anti-hate public data and responsible documentation model,Sent,,2026-06-12,,Unknown,Original contact route uncertain due form/email issues.
AdvancED Equity,advancedequity.org,,Unknown or mixed contact route,Education equity research organization,2026-06-05,Education equity and public-data methodology review,Sent,,2026-06-12,,Unknown,Original contact route uncertain due form/email issues.
Center for Education and Civil Rights,cecr.psu.edu,,Unknown or mixed contact route,University research center,2026-06-05,Education civil-rights and public-data methodology review,Sent,,2026-06-12,,Unknown,Possible duplicate outreach attempt; user listed cecr.psu.edu twice.
Brandeis Cohen Center for Modern Jewish Studies,brandeis.edu,,Unknown or mixed contact route,University research center,2026-06-05,Campus antisemitism and prejudice research perspective,Sent,,2026-06-12,,Unknown,Original contact route uncertain due form/email issues.
